"frequency";"dBCav"
+4.51125000000000000000e+009;-1.63608076024722957909e-004
+4.51140000000000000000e+009;-1.63648123610120202562e-004
+4.51155000000000000000e+009;-1.63688248616460259310e-004
+4.51170000000000000000e+009;-1.63728451261691400429e-004
+4.51185000000000000000e+009;-1.63768731789317708919e-004
+4.51200000000000000000e+009;-1.63809090403304311902e-004
+4.51215000000000000000e+009;-1.63849527346190894546e-004
+4.51230000000000000000e+009;-1.63890042823871325429e-004
+4.51245000000000000000e+009;-1.63930637086600228432e-004
+4.51260000000000000000e+009;-1.63971310347021985909e-004
+4.51275000000000000000e+009;-1.64012062838997136217e-004
+4.51290000000000000000e+009;-1.64052894791564309864e-004
+4.51305000000000000000e+009;-1.64093806438583963894e-004
+4.51320000000000000000e+009;-1.64134798004273037807e-004
+4.51335000000000000000e+009;-1.64175869734064328953e-004
+4.51350000000000000000e+009;-1.64217021858925317718e-004
+4.51365000000000000000e+009;-1.64258254601144175044e-004
+4.51380000000000000000e+009;-1.64299568204707264162e-004
+4.51395000000000000000e+009;-1.64340962896724609651e-004
+4.51410000000000000000e+009;-1.64382438916842974234e-004
+4.51425000000000000000e+009;-1.64423996516281488043e-004
+4.51440000000000000000e+009;-1.64465635922150256974e-004
+4.51455000000000000000e+009;-1.64507357374096043747e-004
+4.51470000000000000000e+009;-1.64549161109354806238e-004
+4.51485000000000000000e+009;-1.64591047373841676237e-004
+4.51500000000000000000e+009;-1.64633016408650121633e-004
+4.51515000000000000000e+009;-1.64675068457284360952e-004
+4.51530000000000000000e+009;-1.64717203752158633957e-004
+4.51545000000000000000e+009;-1.64759422556546718426e-004
+4.51560000000000000000e+009;-1.64801725102380600997e-004
+4.51575000000000000000e+009;-1.64844111652934113658e-004
+4.51590000000000000000e+009;-1.64886582435317497830e-004
+4.51605000000000000000e+009;-1.64929137697856934095e-004
+4.51620000000000000000e+009;-1.64971777703826281546e-004
+4.51635000000000000000e+009;-1.65014502692390375039e-004
+4.51650000000000000000e+009;-1.65057312920554785911e-004
+4.51665000000000000000e+009;-1.65100208640503204761e-004
+4.51680000000000000000e+009;-1.65143190094775777540e-004
+4.51695000000000000000e+009;-1.65186257565451524764e-004
+4.51710000000000000000e+009;-1.65229411269514998503e-004
+4.51725000000000000000e+009;-1.65272651479883738021e-004
+4.51740000000000000000e+009;-1.65315978459349674544e-004
+4.51755000000000000000e+009;-1.65359392457685639615e-004
+4.51770000000000000000e+009;-1.65402893728039884292e-004
+4.51785000000000000000e+009;-1.65446482538508311041e-004
+4.51800000000000000000e+009;-1.65490159142239062501e-004
+4.51815000000000000000e+009;-1.65533923811667750070e-004
+4.51830000000000000000e+009;-1.65577776799460480101e-004
+4.51845000000000000000e+009;-1.65621718374677552891e-004
+4.51860000000000000000e+009;-1.65665748802521785830e-004
+4.51875000000000000000e+009;-1.65709868339516768181e-004
+4.51890000000000000000e+009;-1.65754077258098165551e-004
+4.51905000000000000000e+009;-1.65798375814307422495e-004
+4.51920000000000000000e+009;-1.65842764296492172545e-004
+4.51935000000000000000e+009;-1.65887242954425518293e-004
+4.51950000000000000000e+009;-1.65931812080312657493e-004
+4.51965000000000000000e+009;-1.65976471921033634765e-004
+4.51980000000000000000e+009;-1.66021222762525251689e-004
+4.51995000000000000000e+009;-1.66066064870954886116e-004
+4.52010000000000000000e+009;-1.66110998528401965137e-004
+4.52025000000000000000e+009;-1.66156024005373494220e-004
+4.52040000000000000000e+009;-1.66201141582020240316e-004
+4.52055000000000000000e+009;-1.66246351532706637590e-004
+4.52070000000000000000e+009;-1.66291654124082398337e-004
+4.52085000000000000000e+009;-1.66337049652210311641e-004
+4.52100000000000000000e+009;-1.66382538403509459314e-004
+4.52115000000000000000e+009;-1.66428120633057186235e-004
+4.52130000000000000000e+009;-1.66473796641255963316e-004
+4.52145000000000000000e+009;-1.66519566717418092969e-004
+4.52160000000000000000e+009;-1.66565431129639830027e-004
+4.52175000000000000000e+009;-1.66611390177359383093e-004
+4.52190000000000000000e+009;-1.66657444127708663376e-004
+4.52205000000000000000e+009;-1.66703593293626961243e-004
+4.52220000000000000000e+009;-1.66749837955265260486e-004
+4.52235000000000000000e+009;-1.66796178399042832651e-004
+4.52250000000000000000e+009;-1.66842614912825546033e-004
+4.52265000000000000000e+009;-1.66889147797980377796e-004
+4.52280000000000000000e+009;-1.66935777334176139921e-004
+4.52295000000000000000e+009;-1.66982503830494829599e-004
+4.52310000000000000000e+009;-1.67029327598911501995e-004
+4.52325000000000000000e+009;-1.67076248882931324312e-004
+4.52340000000000000000e+009;-1.67123268018638511476e-004
+4.52355000000000000000e+009;-1.67170385311739858004e-004
+4.52370000000000000000e+009;-1.67217601032742775938e-004
+4.52385000000000000000e+009;-1.67264915502301765408e-004
+4.52400000000000000000e+009;-1.67312329026605765636e-004
+4.52415000000000000000e+009;-1.67359841882430666156e-004
+4.52430000000000000000e+009;-1.67407454421772866658e-004
+4.52445000000000000000e+009;-1.67455166909353744559e-004
+4.52460000000000000000e+009;-1.67502979662452515996e-004
+4.52475000000000000000e+009;-1.67550892989669223190e-004
+4.52490000000000000000e+009;-1.67598907213104963022e-004
+4.52505000000000000000e+009;-1.67647022633162748502e-004
+4.52520000000000000000e+009;-1.67695239551209854950e-004
+4.52535000000000000000e+009;-1.67743558303812967262e-004
+4.52550000000000000000e+009;-1.67791979177391817769e-004
+4.52565000000000000000e+009;-1.67840502517192346598e-004
+4.52580000000000000000e+009;-1.67889128619278047566e-004
+4.52595000000000000000e+009;-1.67937857798035268574e-004
+4.52610000000000000000e+009;-1.67986690388101953062e-004
+4.52625000000000000000e+009;-1.68035626700971553590e-004
+4.52640000000000000000e+009;-1.68084667064049328011e-004
+4.52655000000000000000e+009;-1.68133811794132673016e-004
+4.52670000000000000000e+009;-1.68183061221037841041e-004
+4.52685000000000000000e+009;-1.68232415663973250463e-004
+4.52700000000000000000e+009;-1.68281875446486838856e-004
+4.52715000000000000000e+009;-1.68331440912860419564e-004
+4.52730000000000000000e+009;-1.68381112370247817533e-004
+4.52745000000000000000e+009;-1.68430890165824120918e-004
+4.52760000000000000000e+009;-1.68480774620726381132e-004
+4.52775000000000000000e+009;-1.68530766064771094555e-004
+4.52790000000000000000e+009;-1.68580864858634431108e-004
+4.52805000000000000000e+009;-1.68631071296933613118e-004
+4.52820000000000000000e+009;-1.68681385752881575751e-004
+4.52835000000000000000e+009;-1.68731808545204701099e-004
+4.52850000000000000000e+009;-1.68782340004683883376e-004
+4.52865000000000000000e+009;-1.68832980506943106536e-004
+4.52880000000000000000e+009;-1.68883730362511750569e-004
+4.52895000000000000000e+009;-1.68934589920493672191e-004
+4.52910000000000000000e+009;-1.68985559532886030036e-004
+4.52925000000000000000e+009;-1.69036639543488790898e-004
+4.52940000000000000000e+009;-1.69087830299477232671e-004
+4.52955000000000000000e+009;-1.69139132141276146573e-004
+4.52970000000000000000e+009;-1.69190545435348197942e-004
+4.52985000000000000000e+009;-1.69242070516331980738e-004
+4.53000000000000000000e+009;-1.69293707760816066485e-004
+4.53015000000000000000e+009;-1.69345457498617276825e-004
+4.53030000000000000000e+009;-1.69397320086072587743e-004
+4.53045000000000000000e+009;-1.69449295900252688363e-004
+4.53060000000000000000e+009;-1.69501385275796443699e-004
+4.53075000000000000000e+009;-1.69553588604722275598e-004
+4.53090000000000000000e+009;-1.69605906211061025282e-004
+4.53105000000000000000e+009;-1.69658338484902535773e-004
+4.53120000000000000000e+009;-1.69710885771975840582e-004
+4.53135000000000000000e+009;-1.69763548451280587128e-004
+4.53150000000000000000e+009;-1.69816326889761964923e-004
+4.53165000000000000000e+009;-1.69869221444721537522e-004
+4.53180000000000000000e+009;-1.69922232493712409805e-004
+4.53195000000000000000e+009;-1.69975360410912646608e-004
+4.53210000000000000000e+009;-1.70028605568089291079e-004
+4.53225000000000000000e+009;-1.70081968336045096955e-004
+4.53240000000000000000e+009;-1.70135449086547188699e-004
+4.53255000000000000000e+009;-1.70189048206792595307e-004
+4.53270000000000000000e+009;-1.70242766065655410377e-004
+4.53285000000000000000e+009;-1.70296603055154516541e-004
+4.53300000000000000000e+009;-1.70350559552843343943e-004
+4.53315000000000000000e+009;-1.70404635932900120048e-004
+4.53330000000000000000e+009;-1.70458832590719038588e-004
+4.53345000000000000000e+009;-1.70513149917354855413e-004
+4.53360000000000000000e+009;-1.70567588293736284661e-004
+4.53375000000000000000e+009;-1.70622148105131912028e-004
+4.53390000000000000000e+009;-1.70676829742596439157e-004
+4.53405000000000000000e+009;-1.70731633617918524774e-004
+4.53420000000000000000e+009;-1.70786560105758703680e-004
+4.53435000000000000000e+009;-1.70841609602475784282e-004
+4.53450000000000000000e+009;-1.70896782511179305599e-004
+4.53465000000000000000e+009;-1.70952079235942933436e-004
+4.53480000000000000000e+009;-1.71007500171196978687e-004
+4.53495000000000000000e+009;-1.71063045714264728905e-004
+4.53510000000000000000e+009;-1.71118716272595350726e-004
+4.53525000000000000000e+009;-1.71174512270032286049e-004
+4.53540000000000000000e+009;-1.71230434084129480013e-004
+4.53555000000000000000e+009;-1.71286482139694745241e-004
+4.53570000000000000000e+009;-1.71342656857678546974e-004
+4.53585000000000000000e+009;-1.71398958631546988012e-004
+4.53600000000000000000e+009;-1.71455387863445345067e-004
+4.53615000000000000000e+009;-1.71511945012898831160e-004
+4.53630000000000000000e+009;-1.71568630464694320964e-004
+4.53645000000000000000e+009;-1.71625444644604133355e-004
+4.53660000000000000000e+009;-1.71682387960560067569e-004
+4.53675000000000000000e+009;-1.71739460860997222337e-004
+4.53690000000000000000e+009;-1.71796663754811632097e-004
+4.53705000000000000000e+009;-1.71853997062471888432e-004
+4.53720000000000000000e+009;-1.71911461232413198498e-004
+4.53735000000000000000e+009;-1.71969056662441617967e-004
+4.53750000000000000000e+009;-1.72026783824619260632e-004
+4.53765000000000000000e+009;-1.72084643109519550789e-004
+4.53780000000000000000e+009;-1.72142634986793851594e-004
+4.53795000000000000000e+009;-1.72200759865338549849e-004
+4.53810000000000000000e+009;-1.72259018195999955708e-004
+4.53825000000000000000e+009;-1.72317410420945069886e-004
+4.53840000000000000000e+009;-1.72375936978483572815e-004
+4.53855000000000000000e+009;-1.72434598300656748756e-004
+4.53870000000000000000e+009;-1.72493394861937977131e-004
+4.53885000000000000000e+009;-1.72552327091475619751e-004
+4.53900000000000000000e+009;-1.72611395422757503415e-004
+4.53915000000000000000e+009;-1.72670600342311817820e-004
+4.53930000000000000000e+009;-1.72729942272054212086e-004
+4.53945000000000000000e+009;-1.72789421692244371314e-004
+4.53960000000000000000e+009;-1.72849039030584304515e-004
+4.53975000000000000000e+009;-1.72908794773120029573e-004
+4.53990000000000000000e+009;-1.72968689354304123486e-004
+4.54005000000000000000e+009;-1.73028723259700540748e-004
+4.54020000000000000000e+009;-1.73088896945942303770e-004
+4.54035000000000000000e+009;-1.73149210866769404094e-004
+4.54050000000000000000e+009;-1.73209665510156845007e-004
+4.54065000000000000000e+009;-1.73270261338041755683e-004
+4.54080000000000000000e+009;-1.73330998804164236084e-004
+4.54095000000000000000e+009;-1.73391878412411447156e-004
+4.54110000000000000000e+009;-1.73452900623756364187e-004
+4.54125000000000000000e+009;-1.73514065913155188930e-004
+4.54140000000000000000e+009;-1.73575374757010774101e-004
+4.54155000000000000000e+009;-1.73636827660657040023e-004
+4.54170000000000000000e+009;-1.73698425078798620019e-004
+4.54185000000000000000e+009;-1.73760167523520083713e-004
+4.54200000000000000000e+009;-1.73822055466884818837e-004
+4.54215000000000000000e+009;-1.73884089393975150174e-004
+4.54230000000000000000e+009;-1.73946269815429186128e-004
+4.54245000000000000000e+009;-1.74008597208614448296e-004
+4.54260000000000000000e+009;-1.74071072076936386600e-004
+4.54275000000000000000e+009;-1.74133694911263685714e-004
+4.54290000000000000000e+009;-1.74196466226092126686e-004
+4.54305000000000000000e+009;-1.74259386521934155675e-004
+4.54320000000000000000e+009;-1.74322456280015021133e-004
+4.54335000000000000000e+009;-1.74385676039904061706e-004
+4.54350000000000000000e+009;-1.74449046298256430377e-004
+4.54365000000000000000e+009;-1.74512567550762990719e-004
+4.54380000000000000000e+009;-1.74576240321563393686e-004
+4.54395000000000000000e+009;-1.74640065137690402410e-004
+4.54410000000000000000e+009;-1.74704042500621213249e-004
+4.54425000000000000000e+009;-1.74768172931120437108e-004
+4.54440000000000000000e+009;-1.74832456963453658234e-004
+4.54455000000000000000e+009;-1.74896895098616063802e-004
+4.54470000000000000000e+009;-1.74961487904626213519e-004
+4.54485000000000000000e+009;-1.75026235867049498448e-004
+4.54500000000000000000e+009;-1.75091139537992618791e-004
+4.54515000000000000000e+009;-1.75156199451721456949e-004
+4.54530000000000000000e+009;-1.75221416121768155082e-004
+4.54545000000000000000e+009;-1.75286790111329771622e-004
+4.54560000000000000000e+009;-1.75352321949368326155e-004
+4.54575000000000000000e+009;-1.75418012190401703199e-004
+4.54590000000000000000e+009;-1.75483861356159318067e-004
+4.54605000000000000000e+009;-1.75549870009356247117e-004
+4.54620000000000000000e+009;-1.75616038704028230161e-004
+4.54635000000000000000e+009;-1.75682367978299093297e-004
+4.54650000000000000000e+009;-1.75748858383793879912e-004
+4.54665000000000000000e+009;-1.75815510489014026254e-004
+4.54680000000000000000e+009;-1.75882324855710427689e-004
+4.54695000000000000000e+009;-1.75949302040812261471e-004
+4.54710000000000000000e+009;-1.76016442584372420415e-004
+4.54725000000000000000e+009;-1.76083747095395857108e-004
+4.54740000000000000000e+009;-1.76151216114899889301e-004
+4.54755000000000000000e+009;-1.76218850212832821040e-004
+4.54770000000000000000e+009;-1.76286649975055114033e-004
+4.54785000000000000000e+009;-1.76354615965728983486e-004
+4.54800000000000000000e+009;-1.76422748775536826060e-004
+4.54815000000000000000e+009;-1.76491048975873678073e-004
+4.54830000000000000000e+009;-1.76559517156457755193e-004
+4.54845000000000000000e+009;-1.76628153893023802671e-004
+4.54860000000000000000e+009;-1.76696959780594115832e-004
+4.54875000000000000000e+009;-1.76765935427209954162e-004
+4.54890000000000000000e+009;-1.76835081388836856025e-004
+4.54905000000000000000e+009;-1.76904398292321296537e-004
+4.54920000000000000000e+009;-1.76973886723524306613e-004
+4.54935000000000000000e+009;-1.77043547294344764172e-004
+4.54950000000000000000e+009;-1.77113380589679519136e-004
+4.54965000000000000000e+009;-1.77183387235893091650e-004
+4.54980000000000000000e+009;-1.77253567837169691973e-004
+4.54995000000000000000e+009;-1.77323923003479754727e-004
+4.55010000000000000000e+009;-1.77394453347686908030e-004
+4.55025000000000000000e+009;-1.77465159488441031471e-004
+4.55040000000000000000e+009;-1.77536042047285252347e-004
+4.55055000000000000000e+009;-1.77607101643351649161e-004
+4.55070000000000000000e+009;-1.77678338902523085246e-004
+4.55085000000000000000e+009;-1.77749754462737044472e-004
+4.55100000000000000000e+009;-1.77821348954216126208e-004
+4.55115000000000000000e+009;-1.77893122994164019869e-004
+4.55130000000000000000e+009;-1.77965077228715509586e-004
+4.55145000000000000000e+009;-1.78037212304005487912e-004
+4.55160000000000000000e+009;-1.78109528846881432851e-004
+4.55175000000000000000e+009;-1.78182027526141043916e-004
+4.55190000000000000000e+009;-1.78254708972489417547e-004
+4.55205000000000000000e+009;-1.78327573845080681507e-004
+4.55220000000000000000e+009;-1.78400622781370635749e-004
+4.55235000000000000000e+009;-1.78473856456425592799e-004
+4.55250000000000000000e+009;-1.78547275522167021942e-004
+4.55265000000000000000e+009;-1.78620880644499889977e-004
+4.55280000000000000000e+009;-1.78694672485471680798e-004
+4.55295000000000000000e+009;-1.78768651718220128108e-004
+4.55310000000000000000e+009;-1.78842819011061328815e-004
+4.55325000000000000000e+009;-1.78917175036651034548e-004
+4.55340000000000000000e+009;-1.78991720468609394768e-004
+4.55355000000000000000e+009;-1.79066456002737166980e-004
+4.55370000000000000000e+009;-1.79141382313619034004e-004
+4.55385000000000000000e+009;-1.79216500074875389244e-004
+4.55400000000000000000e+009;-1.79291809990986435175e-004
+4.55415000000000000000e+009;-1.79367312767396934730e-004
+4.55430000000000000000e+009;-1.79443009071459074876e-004
+4.55445000000000000000e+009;-1.79518899615368240745e-004
+4.55460000000000000000e+009;-1.79594985112284242406e-004
+4.55475000000000000000e+009;-1.79671266256561836926e-004
+4.55490000000000000000e+009;-1.79747743743038088712e-004
+4.55505000000000000000e+009;-1.79824418309464410456e-004
+4.55520000000000000000e+009;-1.79901290655017575496e-004
+4.55535000000000000000e+009;-1.79978361510216419358e-004
+4.55550000000000000000e+009;-1.80055631577613216212e-004
+4.55565000000000000000e+009;-1.80133101591102221103e-004
+4.55580000000000000000e+009;-1.80210772292774962233e-004
+4.55595000000000000000e+009;-1.80288644396756270920e-004
+4.55610000000000000000e+009;-1.80366718638869441820e-004
+4.55625000000000000000e+009;-1.80444995750115970163e-004
+4.55640000000000000000e+009;-1.80523476498625529314e-004
+4.55655000000000000000e+009;-1.80602161603345265015e-004
+4.55670000000000000000e+009;-1.80681051836744640876e-004
+4.55685000000000000000e+009;-1.80760147922110565779e-004
+4.55700000000000000000e+009;-1.80839450620340352763e-004
+4.55715000000000000000e+009;-1.80918960710172186876e-004
+4.55730000000000000000e+009;-1.80998678935144924904e-004
+4.55745000000000000000e+009;-1.81078606066281948706e-004
+4.55760000000000000000e+009;-1.81158742872195916611e-004
+4.55775000000000000000e+009;-1.81239090123910346003e-004
+4.55790000000000000000e+009;-1.81319648591484600380e-004
+4.55805000000000000000e+009;-1.81400419070051573730e-004
+4.55820000000000000000e+009;-1.81481402330153018202e-004
+4.55835000000000000000e+009;-1.81562599168368560059e-004
+4.55850000000000000000e+009;-1.81644010365365966061e-004
+4.55865000000000000000e+009;-1.81725636712903252778e-004
+4.55880000000000000000e+009;-1.81807479019132820462e-004
+4.55895000000000000000e+009;-1.81889538083527732820e-004
+4.55910000000000000000e+009;-1.81971814702668239529e-004
+4.55925000000000000000e+009;-1.82054309702065603670e-004
+4.55940000000000000000e+009;-1.82137023869620819690e-004
+4.55955000000000000000e+009;-1.82219958037113790791e-004
+4.55970000000000000000e+009;-1.82303113033431335097e-004
+4.55985000000000000000e+009;-1.82386489654189738133e-004
+4.56000000000000000000e+009;-1.82470088756724849351e-004
+4.56015000000000000000e+009;-1.82553911150636533111e-004
+4.56030000000000000000e+009;-1.82637957685063690967e-004
+4.56045000000000000000e+009;-1.82722229195644278238e-004
+4.56060000000000000000e+009;-1.82806726521873760252e-004
+4.56075000000000000000e+009;-1.82891450523499496036e-004
+4.56090000000000000000e+009;-1.82976402027962547223e-004
+4.56105000000000000000e+009;-1.83061581916226564365e-004
+4.56120000000000000000e+009;-1.83146991025858677914e-004
+4.56135000000000000000e+009;-1.83232630233483073439e-004
+4.56150000000000000000e+009;-1.83318500408009133320e-004
+4.56165000000000000000e+009;-1.83404602408220360850e-004
+4.56180000000000000000e+009;-1.83490937117491861950e-004
+4.56195000000000000000e+009;-1.83577505416787883485e-004
+4.56210000000000000000e+009;-1.83664308186108410012e-004
+4.56225000000000000000e+009;-1.83751346313650726350e-004
+4.56240000000000000000e+009;-1.83838620695809254945e-004
+4.56255000000000000000e+009;-1.83926132216923987443e-004
+4.56270000000000000000e+009;-1.84013881792676977679e-004
+4.56285000000000000000e+009;-1.84101870317534313222e-004
+4.56300000000000000000e+009;-1.84190098703803007861e-004
+4.56315000000000000000e+009;-1.84278567865236672131e-004
+4.56330000000000000000e+009;-1.84367278727161582139e-004
+4.56345000000000000000e+009;-1.84456232190794745807e-004
+4.56360000000000000000e+009;-1.84545429196892587717e-004
+4.56375000000000000000e+009;-1.84634870682353995335e-004
+4.56390000000000000000e+009;-1.84724557564308540817e-004
+4.56405000000000000000e+009;-1.84814490800389366870e-004
+4.56420000000000000000e+009;-1.84904671319780828818e-004
+4.56435000000000000000e+009;-1.84995100089277794567e-004
+4.56450000000000000000e+009;-1.85085778032278666129e-004
+4.56465000000000000000e+009;-1.85176706141134338971e-004
+4.56480000000000000000e+009;-1.85267885357566475767e-004
+4.56495000000000000000e+009;-1.85359316649334830143e-004
+4.56510000000000000000e+009;-1.85451001006379655352e-004
+4.56525000000000000000e+009;-1.85542939376691471028e-004
+4.56540000000000000000e+009;-1.85635132755514826921e-004
+4.56555000000000000000e+009;-1.85727582129897324887e-004
+4.56570000000000000000e+009;-1.85820288490744266532e-004
+4.56585000000000000000e+009;-1.85913252828960926357e-004
+4.56600000000000000000e+009;-1.86006476150882700234e-004
+4.56615000000000000000e+009;-1.86099959452237068668e-004
+4.56630000000000000000e+009;-1.86193703753825151072e-004
+4.56645000000000000000e+009;-1.86287710063429319540e-004
+4.56660000000000000000e+009;-1.86381979396547020405e-004
+4.56675000000000000000e+009;-1.86476512787480915630e-004
+4.56690000000000000000e+009;-1.86571311257514946963e-004
+4.56705000000000000000e+009;-1.86666375843363069103e-004
+4.56720000000000000000e+009;-1.86761707594276137523e-004
+4.56735000000000000000e+009;-1.86857307540217809985e-004
+4.56750000000000000000e+009;-1.86953176739118576664e-004
+4.56765000000000000000e+009;-1.87049316240711898524e-004
+4.56780000000000000000e+009;-1.87145727102446392080e-004
+4.56795000000000000000e+009;-1.87242410400575943694e-004
+4.56810000000000000000e+009;-1.87339367196406950946e-004
+4.56825000000000000000e+009;-1.87436598574390708878e-004
+4.56840000000000000000e+009;-1.87534105604513222669e-004
+4.56855000000000000000e+009;-1.87631889382316443746e-004
+4.56870000000000000000e+009;-1.87729950990323305165e-004
+4.56885000000000000000e+009;-1.87828291524076164930e-004
+4.56900000000000000000e+009;-1.87926912100333347311e-004
+4.56915000000000000000e+009;-1.88025813816084051006e-004
+4.56930000000000000000e+009;-1.88124997787122581923e-004
+4.56945000000000000000e+009;-1.88224465138887278506e-004
+4.56960000000000000000e+009;-1.88324216969814207251e-004
+4.56975000000000000000e+009;-1.88424254440059215417e-004
+4.56990000000000000000e+009;-1.88524578668792706058e-004
+4.57005000000000000000e+009;-1.88625190808938030581e-004
+4.57020000000000000000e+009;-1.88726091986416512391e-004
+4.57035000000000000000e+009;-1.88827283381154235626e-004
+4.57050000000000000000e+009;-1.88928766113286570379e-004
+4.57065000000000000000e+009;-1.89030541392635364388e-004
+4.57080000000000000000e+009;-1.89132610355730642476e-004
+4.57095000000000000000e+009;-1.89234974192625018388e-004
+4.57110000000000000000e+009;-1.89337634073119618749e-004
+4.57125000000000000000e+009;-1.89440591190642639453e-004
+4.57140000000000000000e+009;-1.89543846741997939857e-004
+4.57155000000000000000e+009;-1.89647401923507207509e-004
+4.57170000000000000000e+009;-1.89751257936796372244e-004
+4.57185000000000000000e+009;-1.89855415998439367668e-004
+4.57200000000000000000e+009;-1.89959877330314234152e-004
+4.57215000000000000000e+009;-1.90064643135976212192e-004
+4.57230000000000000000e+009;-1.90169714664306074891e-004
+4.57245000000000000000e+009;-1.90275093135735889286e-004
+4.57260000000000000000e+009;-1.90380779812165772114e-004
+4.57275000000000000000e+009;-1.90486775919332276645e-004
+4.57290000000000000000e+009;-1.90593082732637007955e-004
+4.57305000000000000000e+009;-1.90699701497586512249e-004
+4.57320000000000000000e+009;-1.90806633492475886255e-004
+4.57335000000000000000e+009;-1.90913879980652819238e-004
+4.57350000000000000000e+009;-1.91021442249574349963e-004
+4.57365000000000000000e+009;-1.91129321579947247366e-004
+4.57380000000000000000e+009;-1.91237519265015181152e-004
+4.57395000000000000000e+009;-1.91346036609594540804e-004
+4.57410000000000000000e+009;-1.91454874920912710388e-004
+4.57425000000000000000e+009;-1.91564035508608339602e-004
+4.57440000000000000000e+009;-1.91673519683284584395e-004
+4.57455000000000000000e+009;-1.91783328794601845568e-004
+4.57470000000000000000e+009;-1.91893464142073354520e-004
